左侧,右侧,关联规则,支持度,置信度,提升度
pytorch,python,pytorch => python,0.0025048705816866127,0.40909090909090906,2.482877764127764
bot,telegram bot,bot => telegram bot,0.004453103256331756,0.3018867924528302,23.5799835931091
italy,covid 19 italy,italy => covid 19 italy,0.002226551628165878,0.32,23.953333333333333
coronavirus dataset,covid19 data,coronavirus dataset => covid19 data,0.006123016977456165,0.6285714285714286,3.6963292027121812
virus,coronavirus tracking,virus => coronavirus tracking,0.002226551628165878,0.26666666666666666,1.118008556981719
italy,covid19 data,italy => covid19 data,0.0027831895352073478,0.4,2.3522094926350245
covid 19 india,coronavirus real time,covid 19 india => coronavirus real time,0.018925688839409965,0.21451104100946372,3.1717620178889017
coronavirus tracking,covid 19 india,coronavirus tracking => covid 19 india,0.04981909268021152,0.2088681446907818,2.3673919365109746
telegram bot,python,telegram bot => python,0.004453103256331756,0.34782608695652173,2.1110458284371325
india,covid19 data,india => covid19 data,0.015585861397161147,0.2901554404145078,1.7062659532067537
india,coronavirus tracking,india => coronavirus tracking,0.030615084887280822,0.5699481865284974,2.3895260609065243
covid 19 india,covid19 data,covid 19 india => covid19 data,0.02978012802671862,0.3375394321766561,1.9849086412614163
covid 19 india,india,covid 19 india => india,0.04425271360979683,0.501577287066246,9.337653846782498
brazil,coronavirus tracking,brazil => coronavirus tracking,0.0027831895352073478,0.33333333333333337,1.397510696227149
time series,covid19 data,time series => covid19 data,0.0025048705816866127,0.2727272727272727,1.6037791995238804
health,coronavirus tracking,health => coronavirus tracking,0.0025048705816866127,0.2195121951219512,0.9203119219056833
time series,dataset,time series => dataset,0.0025048705816866127,0.2727272727272727,10.424564796905221
csv,data,csv => data,0.002226551628165878,0.3333333333333333,14.970833333333331
csv,dataset,csv => dataset,0.002226551628165878,0.3333333333333333,12.741134751773048
covid 19 brazil,covid19 data,covid 19 brazil => covid19 data,0.0025048705816866127,0.40909090909090906,2.4056687992858206
cli,coronavirus tracking,cli => coronavirus tracking,0.003339827442248817,0.5454545454545454,2.2868356847353346
pandas,covid19 data,pandas => covid19 data,0.0027831895352073478,0.22222222222222224,1.3067830514639027
data analysis,python,data analysis => python,0.006679654884497634,0.3582089552238806,2.1740621218233156
india,coronavirus real time,india => coronavirus real time,0.013080990815474534,0.24352331606217617,3.6007377556024647
convolutional neural networks,tensorflow,convolutional neural networks => tensorflow,0.002226551628165878,0.2162162162162162,17.263663663663664
convolutional neural networks,keras,convolutional neural networks => keras,0.002226551628165878,0.2162162162162162,24.277027027027025
tensorflow,deep learning,tensorflow => deep learning,0.006957973838018369,0.5555555555555556,12.475694444444445
convolutional neural networks,deep learning,convolutional neural networks => deep learning,0.008071249652101308,0.7837837837837837,17.60084459459459
keras,deep learning,keras => deep learning,0.006679654884497634,0.75,16.842187499999998
convolutional neural networks,python,convolutional neural networks => python,0.003896465349290287,0.37837837837837834,2.2964755295836374
tensorflow,python,tensorflow => python,0.004731422209852491,0.3777777777777778,2.2928303303303306
tensorflow,keras,tensorflow => keras,0.0052880601168939605,0.4222222222222222,47.40763888888889
keras,python,keras => python,0.003896465349290287,0.4375,2.655299831081081
keras,machine learning,keras => machine learning,0.0025048705816866127,0.28125,6.561891233766234
tensorflow,machine learning,tensorflow => machine learning,0.003339827442248817,0.26666666666666666,6.221645021645021
computer vision,python,computer vision => python,0.003896465349290287,0.3111111111111111,1.8882132132132132
csv,covid19 data,csv => covid19 data,0.002226551628165878,0.3333333333333333,1.9601745771958536
convolutional neural networks,machine learning,convolutional neural networks => machine learning,0.003339827442248817,0.3243243243243243,7.566865566865566
simulation,python,simulation => python,0.0030615084887280824,0.28205128205128205,1.7118416493416493
social distancing,python,social distancing => python,0.0025048705816866127,0.2647058823529411,1.606567965023847
convolutional neural networks,computer vision,convolutional neural networks => computer vision,0.002226551628165878,0.2162162162162162,17.263663663663664
mask,deep learning,mask => deep learning,0.004731422209852491,0.6296296296296297,14.13912037037037
mask,python,mask => python,0.002226551628165878,0.2962962962962963,1.798298298298298
